well_id,cycle,injection_day,steam_temp_c,pressure_ksc,steam_rate_kg_hr,injection_hr,soaking_hr,reservoir_temp_before_c,reservoir_temp_after_c,viscosity_before_cp,viscosity_after_cp,oil_production_after_bpd,steam_volume_tonnes
BGW_01,1,1,280,85,3000,24,48,50,56,12000,10500,80,72
BGW_01,1,2,285,87,3050,24,48,56,63,10500,8800,110,73.2
BGW_01,1,3,290,89,3100,24,48,63,71,8800,7000,145,74.4
BGW_01,1,4,295,91,3150,24,48,71,80,7000,5400,180,75.6
BGW_01,1,5,300,93,3200,24,48,80,88,5400,4100,220,76.8
BGW_01,2,1,275,84,2950,24,48,52,58,12500,10800,75,70.8
BGW_01,2,2,282,86,3000,24,48,58,65,10800,9000,105,72
BGW_01,2,3,288,88,3050,24,48,65,73,9000,7200,138,73.2
BGW_01,2,4,294,90,3100,24,48,73,82,7200,5600,170,74.4
BGW_01,2,5,300,92,3150,24,48,82,89,5600,4300,205,75.6
BGW_02,1,1,285,88,3100,24,48,48,55,13000,11200,70,74.4
BGW_02,1,2,290,90,3150,24,48,55,63,11200,9200,100,75.6
BGW_02,1,3,295,92,3200,24,48,63,72,9200,7100,140,76.8
BGW_02,1,4,300,94,3250,24,48,72,81,7100,5300,185,78
BGW_02,1,5,305,96,3300,24,48,81,90,5300,3900,230,79.2
